year,AG_LND_AGRI_ZS,AG_LND_ARBL_ZS,AG_LND_EL5M_ZS,AG_LND_FRST_K2,AG_LND_FRST_ZS,AG_LND_IRIG_AG_ZS,AG_YLD_CREL_KG,BM_GSR_ROYL_CD,BN_CAB_XOKA_CD,BX_GRT_EXTA_CD_WD,BX_GRT_TECH_CD_WD,BX_GSR_ROYL_CD,BX_KLT_DINV_CD_WD,BX_TRF_PWKR_CD_DT,DT_DOD_DECT_CD,DT_DOD_DECT_GN_ZS,DT_DOD_DSTC_ZS,DT_ODA_ODAT_CD,DT_ODA_ODAT_GN_ZS,DT_ODA_ODAT_PC_ZS,DT_TDS_DECT_EX_ZS,EG_ELC_ACCS_ZS,EG_ELC_RNEW_ZS,EG_FEC_RNEW_ZS,EG_USE_ELEC_KH_PC,EG_USE_PCAP_KG_OE,EN_POP_EL5M_ZS,ER_H2O_FWTL_K3,ER_PTD_TOTL_ZS,FI_RES_TOTL_CD,FP_CPI_TOTL_ZG,GC_DOD_TOTL_GD_ZS,GC_REV_XGRT_GD_ZS,GC_XPN_TOTL_GD_ZS,NE_EXP_GNFS_ZS,NE_GDI_TOTL_ZS,NE_IMP_GNFS_ZS,NV_AGR_TOTL_ZS,NV_IND_TOTL_ZS,NV_MNF_TECH_ZS_UN,NY_ADJ_SVNG_GN_ZS,NY_GDP_DEFL_KD_ZG,NY_GDP_MKTP_CD,NY_GDP_MKTP_KD_ZG,NY_GDP_PCAP_CD,NY_GDP_PCAP_KD_ZG,NY_GDP_PCAP_PP_CD,NY_GNP_ATLS_CD,NY_GNP_MKTP_PP_CD,NY_GNP_PCAP_CD,NY_GNP_PCAP_PP_CD,NY_GNS_ICTR_ZS,PA_NUS_PPP,PA_NUS_PRVT_PP,SE_ADT_1524_LT_FE_ZS,SE_ADT_1524_LT_MA_ZS,SE_ADT_LITR_FE_ZS,SE_ADT_LITR_MA_ZS,SE_PRE_ENRR,SE_PRM_ENRL_TC_ZS,SE_PRM_ENRR,SE_PRM_GINT_FE_ZS,SE_PRM_GINT_MA_ZS,SE_PRM_REPT_FE_ZS,SE_PRM_REPT_MA_ZS,SE_PRM_TCAQ_ZS,SE_PRM_UNER_FE,SE_PRM_UNER_MA,SE_SEC_ENRR,SE_XPD_PRIM_PC_ZS,SE_XPD_SECO_PC_ZS,SE_XPD_TERT_PC_ZS,SE_XPD_TOTL_GD_ZS,SL_TLF_TOTL_FE_ZS,SL_TLF_TOTL_IN,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_ZS,SP_POP_GROW,SP_POP_TOTL,SP_URB_TOTL,SP_URB_TOTL_IN_ZS,country
2009,13.6477366255144,11.7805212620027,,249570.0,68.4691358024691,32.5855345153379,5919.5,16834677241.2227,145677709652.338,,,21697984664.1582,12226471578.7439,1594532177.55192,,,,,,,,100.0,9.14571650806042,4.5,8020.27380571196,3678.51113263099,,81.222,,1051654952502.29,-1.35283672951719,156.984485342014,,18.2117006884089,12.41956574798,22.6031764761029,11.9706007858756,1.08231650645818,27.1112122235818,51.7148808039326,1.66823174381576,-0.569564924624345,5289493117993.89,-5.69323635882266,41308.9968370512,-5.68145234031182,33547.2834245767,5023446107004.93,4403592894666.1,39230.0,34390.0,25.3311155031213,115.219075,125.047139,,,,,,,,,,,,,,,,,,,3.5559778213501,41.6105507496109,66339021.0,4.783,5.068,-0.0124946312294096,128047000.0,115228215.0,89.989,JPN
2010,13.5884773662551,11.7475994513032,,249660.0,68.4938271604938,32.8083989501312,5853.7,18768647813.3267,220887986144.054,,,26680317333.8952,7440979284.16286,1684468955.29358,,,,,,,,100.0,10.5317771633873,4.7,8594.90903412197,3893.26660420083,,81.0045714286,,1104563760972.06,-0.728243207517779,160.498098433606,,17.2217468141394,14.9185034496428,22.5903041279796,13.5799692441961,1.10828108130349,28.3359701667911,53.6952077324694,3.81825083496632,-1.88074194993916,5759071769013.11,4.09791791930137,44968.1562349739,4.07922304843274,35335.3735103814,5623425675778.43,4645945128260.86,43910.0,36280.0,26.3773227234459,111.709563,121.031756,,,,,,,,,,,,,,,,,,,3.59951996803284,41.7478334369055,66100429.0,4.603,5.102,0.0179605415195644,128070000.0,116302928.0,90.812,JPN
2011,13.4951989026063,11.6707818930041,,249616.0,68.481755829904,31.9983736531815,6010.6,19172720512.1256,129596684408.633,,,28989252520.8126,-850717035.068239,2131729225.38912,,,,,,,,100.0,11.4628446015564,4.8,8099.59869517261,3610.81216900174,,80.7871428571,,1295838676317.29,-0.27245561610124,175.567641219028,,18.5956788727445,14.7744622613499,23.5405686895679,15.4204984672798,1.08027176258707,26.7014360671016,54.4782314262621,3.12386407249754,-1.62208025009267,6233147172341.35,0.0238095237748297,48760.0789494211,0.209251802819637,36214.4397740241,6067944713976.76,4764015870154.12,47470.0,37270.0,25.5805714085266,107.454281,116.103236,,,,,,,,,,,,,,,,,,,3.60527992248535,41.7767904751961,65674339.0,4.148,4.55,-0.185226486410846,127833000.0,116416235.0,91.069,JPN
2012,13.4567901234568,11.6488340192044,,249572.0,68.4696844993141,32.1916411824669,6248.5,19897558092.8026,60116999697.1116,,,31892291571.9476,546962692.190728,2539577664.61313,,,,,,,,100.0,11.1942473822485,4.7,7998.34677071825,3537.3631698125,,80.5697142857,,1268085524238.3,-0.0440645104432602,183.706209324867,,18.1117047475127,14.4147746129824,24.0049297197241,16.0561363041928,1.12285396244805,26.562641428228,55.0050246411578,2.94288764587388,-0.75609311955516,6272362996105.03,1.37475099920874,49145.2804308193,1.53678665884595,37605.9742614539,6389215991937.82,4932125343801.04,50060.0,38640.0,24.895748835138,104.273972,112.664472,,,,,,,,,,,,,,,,,,,3.41945004463196,41.8975673625217,65377600.0,4.051,4.358,-0.159710675844347,127629000.0,116331281.0,91.148,JPN
2013,13.4211248285322,11.6268861454047,,249528.0,68.4576131687243,32.6451349141455,6281.5,17831143179.9957,46378535980.1121,,,31586957364.2198,10648441636.2071,2363853398.35665,,,,,,,,100.0,12.2052917942741,5.0,7988.58331044764,3567.62935383891,,80.3522857143,,1266851401020.24,0.335037912184741,186.564297348971,,18.1406509054638,15.7841567318773,24.4176240405457,18.1946119190738,1.06671782970179,26.6507450551464,55.3372312170038,3.2300085137014,-0.354375054330276,5212328181166.18,2.0051001767726,40898.6478964744,2.15237106564643,39402.0250988025,6225972813842.22,5194308150190.67,48850.0,40760.0,25.2525231315864,101.302673,106.590397,,,,,87.3422775268555,16.73194,102.255889892578,,,,,,,,101.781173706055,22.97133,24.73159,23.99086,3.40875005722046,42.3561062248985,65621150.0,3.683,4.038,-0.144271883387076,127445000.0,116262976.0,91.226,JPN
2014,13.360768175583,11.5829903978052,,249484.0,68.4455418381344,32.299794661191,6325.1,20941598563.3024,36351469239.9693,,,37336359360.3338,19752249424.0871,3733912541.77727,,,,,,,,100.0,14.0593593575553,5.6,7819.71463590936,3470.76312894811,,80.1348571429,,1260680310062.82,2.75922671353253,192.112850344345,,17.5741647729135,17.4186553484795,25.0363619892408,20.0127792201784,0.996605700341743,27.3136267349767,56.2087031253911,3.45114060061518,1.68629478626674,4896994405353.29,0.296205514142628,38475.3952461838,0.429381122520397,39555.4120089198,5656060796742.79,5221591072071.17,44440.0,41030.0,25.7720886257814,103.052076,109.18166,,,,,86.4447402954102,16.44725,102.415283203125,,,,,,,,101.813980102539,22.54562,24.01273,24.36669,3.41529989242554,42.5981258911193,65843453.0,3.367,3.589,-0.132694222147042,127276000.0,116208079.0,91.304,JPN
2015,13.2949245541838,11.5363511659808,3.25499866561465,249440.0,68.4334705075446,,6316.7,17033762145.6497,136471801667.015,,,36476971138.5854,5252218412.39172,3325097902.92665,,,,,,,,100.0,15.9847807230219,6.2,,3428.55721600428,12.4425842555292,79.9174285714,,1233097790281.8,0.795279630579839,194.584061217143,,16.9738508264281,17.4367598376529,25.1653478796719,17.990648516827,1.03412007048647,28.5837114240167,56.7707415600491,6.04660876983413,2.111298993275,4444930651964.18,1.56062669674904,34960.6393843385,1.66846511711745,40906.594569246,5006471935029.79,5405481979998.04,39380.0,42520.0,28.1789158205035,103.449739,108.962803,,,,,86.695426940918,16.17666,102.41911315918,,,0.0,0.0,,,,102.200416564941,,,,3.31221008300781,42.7600285740469,65931158.0,3.09,3.385,-0.106124993746747,127141000.0,116182717.0,91.381,JPN
2016,13.2043895747599,11.4787379972565,,249400.0,68.4224965706447,,6253.4,20246369822.2082,197049392532.181,,,39136372676.8632,40954181468.5533,3830448522.34687,,,,,,,,100.0,,6.4,,,,79.7,2.09183621347664,1216518779919.68,-0.127258844489754,193.23043783523,,16.7112446327333,16.0579692360598,24.8355973184149,15.2522776095286,1.12498130848332,28.6299476490573,56.5702316735256,6.80675733879101,0.419944376057273,5003677627544.24,0.753826745903538,39375.4731620781,0.805362824616168,40596.9686628994,4887581873400.53,5338418864031.4,38460.0,42010.0,28.7272232413719,105.519502,114.928968,,,,,,15.87224,102.216911315918,,,,,,,,101.167999267578,21.78104,24.05154,20.60904,3.14643001556396,43.0975667735446,66529155.0,2.835,3.132,-0.0511374152133631,127076000.0,116219897.0,91.457,JPN
2017,13.1083676268861,11.4156378600823,,249350.0,68.4087791495199,,6284.5,21381387583.9079,203168727082.395,,,41721260134.2765,18802251208.1069,4443028775.37986,,,,,,,,100.0,,6.9,,,,79.3,10.0262887092871,1264140980383.63,0.484199796126385,193.489159658852,,16.1953485344611,17.5914391047836,25.2148269758242,16.831774467385,1.12844054943922,28.8824260088632,56.9058772294467,7.31897701838044,-0.0743495037290671,4930837369151.42,1.67533175166503,38834.0529341227,1.75861180161441,41444.2157443914,4943005267665.77,5456929841830.38,38930.0,42980.0,29.2896671713554,105.101901,115.983404,,,,,,15.66096,102.254829406738,,,,,,,,101.882888793945,,,,3.13057994842529,43.4739153660068,67070828.0,2.645,2.822,-0.081874296046114,126972000.0,116223820.0,91.535,JPN
2018,13.0205761316872,11.363511659808,,249350.0,68.4087791495199,,6404.7,21993730961.7517,177268535276.423,,,45571207969.359,25289367857.8518,4369453719.14417,,,,,,,,100.0,,7.3,,,,79.1,10.0262887092871,1270467038786.78,0.989094598021848,197.335609410989,,16.0713191758764,18.3149455985223,25.6417143090178,18.2949862035848,1.044248235947,29.0140076866127,57.2205059773802,6.82161441618955,-0.00023750638760589,5040880939324.86,0.643391023460339,39751.1330982711,0.771168471432347,42141.9352987759,5300391313001.46,5548453034657.65,41800.0,43750.0,29.1254674586362,104.158636,114.318756,,,,,,,102.099906921387,,,,,,,,102.425148010254,,,,3.07782006263733,43.8867336340833,68187091.0,2.232,2.467,-0.126880068088791,126811000.0,116179166.0,91.616,JPN
2019,12.9355281207133,11.3141289437586,,249350.0,68.4087791495199,,6546.7,26774027970.6846,176609997619.696,,,47149932380.4128,39960544340.0141,4388723265.72254,,,,,,,,100.0,,7.8,,,,78.4,10.0262880741963,1322443255598.64,0.46877615938395,198.010309174872,,16.4238978704123,17.4635264275221,25.7896961306359,17.7528916808924,1.03894744464527,28.8040848106902,56.063824051762,6.63193437966196,0.63480316569607,5117993853016.51,-0.402169200910933,40415.9567649547,-0.262170828589063,42678.1511448355,5315223353077.05,5616185461359.49,41970.0,44350.0,29.1717018986434,103.231509,116.05812,,,,,,,102.652282714844,,,,,,,,102.670066833496,,,,3.15533995628357,44.2136193940921,68812048.0,2.168,2.351,-0.140464977878172,126633000.0,116119928.0,91.698,JPN
2020,12.8449931412894,11.2592592592593,,249350.0,68.4087791495199,,6472.9,28550217207.2916,150028926280.73,,,43315520409.1622,62584719398.0912,4887784631.45566,,,,,,,,100.0,,8.5,,,,78.4,10.0262020412695,1390808939303.36,-0.024995834027731,215.755540579043,,23.5988078728704,15.528515498653,25.2463189703306,15.7972776256456,1.06632318664296,29.07340051522,54.6719925485767,4.73441170625144,0.941449700794308,5055587093501.59,-4.14711889947692,40040.7655055923,-3.86470966963243,42438.44646009,5169145753459.99,5554842403045.06,40940.0,43990.0,28.1676671519298,100.742048,112.988905,,,,,,,102.736831665039,,,,,,,,102.844802856445,,,,3.30628991127014,44.1368438322446,68656452.0,2.531,2.809,-0.294194617750067,126261000.0,115884871.0,91.782,JPN
2008,32.7399677741119,20.0852323588839,,130672.68,41.7762218982583,,4897.6,,-10823000000.0,751640000.0,329100000.0,,9579000000.0,6804000000.0,26497616052.6,27.5497882153862,15.8672,1760189941.40625,1.83008388408726,20.6653790089532,1.98401415099651,93.8,35.4814976292986,39.3,812.61355633129,570.996443261552,,81.862,,23890250550.2909,23.1154483474477,,,,70.3366919402715,36.4931217965814,83.9807876874868,20.4131439246507,37.0776963788801,22.4658554678733,7.42201016603123,22.6733161746106,99130304099.1274,5.66177120891362,1163.83195772873,3.74838603993047,4844.06704743752,84934003166.5593,402928818718.689,1000.0,4730.0,27.9004725574194,4973.20698228855,5686.73166257163,,,,,68.2560272216797,19.92674,99.2513885498047,,,,,98.6272430419922,,,,18.02041,,56.4484,4.88674020767212,49.4748673741064,47896567.0,1.764,1.889,1.82745521345807,85175788.0,24810004.0,29.128,VNM
